VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB6K,Asotin,Clarkston,WA,99403,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,9,256163274,POINT (-117.045685 46.4163),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||PUD NO 1 OF ASOTIN COUNTY,53003960200
5YJ3E1EA5K,King,Black Diamond,WA,98010,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,5,166973096,POINT (-122.00451 47.312185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031603
JTDKARFP9H,Stevens,Nine Mile Falls,WA,99026,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,7,125081582,POINT (-117.5967686 47.8204962),NO KNOWN ELECTRIC UTILITY SERVICE,53065951401
5YJYGDEE7M,Snohomish,Lynnwood,WA,98036,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,32,156492535,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051931
WA1VAAGE7M,King,Renton,WA,98058,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,47,151278235,POINT (-122.1298876 47.4451257),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029307
WBY8P6C02L,King,Shoreline,WA,98155,2020,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,32,107304410,POINT (-122.3175 47.7578146),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020500
1N4BZ0CP1H,Snohomish,Lynnwood,WA,98037,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,32,177995058,POINT (-122.297265 47.84182),PUGET SOUND ENERGY INC,53061051702
5YJXCBE2XJ,King,Redmond,WA,98053,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,45,187670325,POINT (-122.0222799 47.6958998),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333
KM8KRDAF8P,Snohomish,Snohomish,WA,98296,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,253727757,POINT (-122.15134 47.8851158),PUGET SOUND ENERGY INC,53061052122
1C4RJYD68N,King,Burien,WA,98146,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,34,225909043,POINT (-122.355145 47.505655),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027500
